Offense Case Type,Offense Date,Charges Description,Offense Street Name,Offense Cross Street,Case Closed,Agency,Officer Code,RACE,Defendant Gender
NT,2020-11-20,0:53:00,500 Block Red River Street,,ACT,APD Do Not Use,7245,White,Female
NT,2020-11-21,3:45:00,1010 Trinity Street,,TERM,APD Do Not Use,5656,Hispanic or Latino,Male
NT,2020-11-21,13:35:00,500 Block Brazos Street,,TERM,APD Do Not Use,7451,Black or African American,Male
NT,2020-11-21,13:40:00,6th Street And Brazos Street,,IN,APD Do Not Use,6136,White,Male
NT,2020-11-22,0:31:00,720 West 6th Street,,TERM,APD Do Not Use,8105,Black or African American,Male
NT,2020-11-22,0:40:00,600 Block West 6th Street,,ACT,APD Do Not Use,8139,Black or African American,Male
NT,2020-11-22,1:56:00,200 Block Congress Avenue,,TERM,APD Do Not Use,7699,White,Female
NT,2020-11-22,2:15:00,310 Colorado Street,,TERM,APD Do Not Use,8740,White,Male
NT,2020-11-22,2:15:00,310 Colorado Street,,TERM,APD Do Not Use,8740,White,Male
NT,2020-11-22,2:15:00,310 Colorado Street,,TERM,APD Do Not Use,8740,White,Male
NT,2020-11-22,2:15:00,310 Colorado Street,,TERM,APD Do Not Use,8740,White,Male
NT,2020-11-22,13:41:00,100 Block East 6th Street,,IN,APD Do Not Use,7433,Hispanic or Latino,Male
NT,2020-11-24,2:02:00,Trinity Street And,East 8th Street,ACT,APD Do Not Use,8140,Hispanic or Latino,Female
NT,2020-11-24,19:59:00,823 Congress Avenue,,TERM,APD Do Not Use,7765,White,Male
NT,2020-11-25,22:39:00,708 East 6th Street,,ACT,APD Do Not Use,7796,Black or African American,Male
NT,2020-11-27,4:15:00,Red River Street And,East 3rd Street,IN,APD Do Not Use,7945,White,Male
NT,2020-11-28,1:39:00,West 21st Street And,San Antonio Street,TERM,APD Do Not Use,9252,White,Male
NT,2020-11-29,0:00:00,607 Trinity Street,,ACT,APD Do Not Use,4560,Black or African American,Female
NT,2020-11-29,1:35:00,607 Trinity Street,,ACT,APD Do Not Use,8140,Black or African American,Male
NT,2020-11-30,19:11:00,400 Block East 6th Street,,TERM,APD Do Not Use,7804,White,Female
NT,2020-11-30,19:23:00,East 7th Street And,Red River Street,ACT,APD Do Not Use,7245,Black or African American,Male
NT,2020-11-30,19:23:00,East 7th Street And,Red River Street,ACT,APD Do Not Use,7245,Black or African American,Male
TR,2020-12-02,8:45:00,600 Block Red River Street,,ACT,APD Do Not Use,3968,Hispanic or Latino,Male
NT,2020-12-02,14:35:00,500 Block Brazos Street,,ACT,APD Do Not Use,3968,White,Male
NT,2020-12-03,22:50:00,200 East 6th Street,,IN,APD Do Not Use,7796,White,Male
NT,2020-12-05,0:00:00,500 Block Trinity Street,,ACT,APD Do Not Use,8674,White,Male
NT,2020-12-05,0:00:00,500 Block Trinity Street,,ACT,APD Do Not Use,8674,Black or African American,Female
NT,2020-12-05,0:00:00,500 Block Trinity Street,,ACT,APD Do Not Use,8674,Black or African American,Female
NT,2020-12-05,0:01:00,500 Block Trinity Street,,ACT,APD Do Not Use,8674,Black or African American,Male
NT,2020-12-06,1:53:00,East 6th Street And,Trinity Street,TERM,APD Do Not Use,8674,White,Male
NT,2020-12-07,23:55:00,East 6th Street And,Neches Street,IN,APD Do Not Use,8674,Black or African American,Male
NT,2020-12-08,9:40:00,100 Block West 6th Street,,IN,APD Do Not Use,7284,White,Male
NT,2020-12-08,23:37:00,901 Neches Street,,TERM,APD Do Not Use,7597,White,Male
NT,2020-12-08,23:37:00,901 Neches Street,,TERM,APD Do Not Use,7597,White,Male
NT,2020-12-09,0:00:00,411 East 6th Street,,TERM,APD Do Not Use,6096,White,Female
NT,2020-12-09,7:30:00,6th Street And,Brazos Street,ACT,APD Do Not Use,6136,White,Male
NT,2020-12-09,11:40:00,200 Block East 6th Street,,ACT,APD Do Not Use,5635,Black or African American,Male
NT,2020-12-10,9:00:00,3rd Street And,Lavaca Street,TERM,APD Do Not Use,7284,White,Male
NT,2020-12-10,9:15:00,600 Block Congress Avenue,,ACT,APD Do Not Use,7284,White,Male
NT,2020-12-10,23:45:00,217 East 6th Street,,TERM,APD Do Not Use,7849,White,Male
NT,2020-12-11,13:25:00,400 Block East 6th Street,,ACT,APD Do Not Use,7433,White,Male
NT,2020-12-11,14:00:00,502 East 6th Street,,ACT,APD Do Not Use,6290,Black or African American,Male
NT,2020-12-11,23:30:00,500 Block East 8th Street,,TERM,APD Do Not Use,7870,White,Male
NT,2020-12-12,23:27:00,217 E 6TH ST,,TERM,Other Agency,8205,White,Female
NT,2020-12-12,23:50:00,217 East 6th Street,,TERM,APD Do Not Use,8674,White,Female
NT,2020-12-12,23:50:00,217 East 6th Street,,TERM,APD Do Not Use,8674,White,Female
NT,2020-12-12,23:56:00,217 E 6TH ST,,TERM,Other Agency,8205,White,Female
NT,2020-12-13,2:00:00,94 Rainey Street,,TERM,APD Do Not Use,8398,Hispanic or Latino,Female
NT,2020-12-14,0:33:00,100 Block East 7th Street,,TERM,APD Do Not Use,7615,White,Male
NT,2020-12-14,19:08:00,500 East 7th Street,,ACT,APD Do Not Use,7245,Black or African American,Male
NT,2020-12-14,19:08:00,500 East 7th Street,,ACT,APD Do Not Use,7245,Black or African American,Male
NT,2020-12-15,16:00:00,2765 East 7th Street,,TERM,APD Do Not Use,9220,Hispanic or Latino,Male
NT,2020-12-15,21:41:00,500 Block East 6th Street,,ACT,APD Do Not Use,7245,Black or African American,Female
NT,2020-12-16,12:55:00,East 6th Street And,San Jacinto Boulevard,TERM,APD Do Not Use,6136,White,Male
NT,2020-12-16,16:45:00,East 6th Street,Brazos Street,TERM,APD Do Not Use,6136,Black or African American,Male
NT,2020-12-16,23:50:00,600  Block Congress Avenue,,IN,APD Do Not Use,7796,White,Male
NT,2020-12-16,23:59:00,600 6TH ST,,ACT,APD Do Not Use,8754,Black or African American,Male
NT,2020-12-18,0:05:00,310 East 6th Street,,TERM,APD Do Not Use,7945,White,Male
NT,2020-12-18,0:20:00,310 E 6TH ST,,TERM,Other Agency,8205,White,Male
NT,2020-12-18,0:26:00,310 E 6TH ST,,TERM,Other Agency,8205,White,Male
NT,2020-12-18,23:55:00,403 East 6th Street,,ACT,APD Do Not Use,7849,White,Female
NT,2020-12-18,23:58:00,403 E 6TH ST,,TERM,Other Agency,8205,White,Female
